"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 26 16:35:19 CST 2021","Fri Feb 26 16:35:19 CST 2021","37","testcase","数字化校园","登陆及学生模块","","","登陆参数错误-失败",""
"passed","Fri Feb 26 16:35:19 CST 2021","Fri Feb 26 16:35:19 CST 2021","26","testcase","数字化校园","登陆及学生模块","","","根据学年学期获取学生信息",""
"passed","Fri Feb 26 16:35:19 CST 2021","Fri Feb 26 16:35:19 CST 2021","51","testcase","数字化校园","登陆及学生模块","","","登陆参数正常-成功",""
"passed","Fri Feb 26 16:35:19 CST 2021","Fri Feb 26 16:35:20 CST 2021","66","testcase","数字化校园","登陆及学生模块","","","根据班级获取学生信息",""
"passed","Fri Feb 26 16:35:19 CST 2021","Fri Feb 26 16:35:19 CST 2021","22","testcase","数字化校园","登陆及学生模块","","","登陆参数为空-失败",""
"passed","Fri Feb 26 16:35:19 CST 2021","Fri Feb 26 16:35:19 CST 2021","44","testcase","数字化校园","登陆及学生模块","","","根据学号获取学生信息",""
"passed","Fri Feb 26 16:35:19 CST 2021","Fri Feb 26 16:35:19 CST 2021","38","testcase","数字化校园","登陆及学生模块","","","根据学校id和学号获取班级",""
"passed","Fri Feb 26 16:35:19 CST 2021","Fri Feb 26 16:35:19 CST 2021","84","testcase","数字化校园","登陆及学生模块","","","获取access_token",""
